product,capability,current_status,demo_ready,production_ready,blocker,notes
Platform,Signal ingestion (PRISM Bus),working,YES,YES,,Cross-domain event bus; SSE live feed
Platform,Policy engine (Covenant Policy),working,YES,YES,,packages/policy-engine
Platform,Proof chain (audit trail),working,YES,YES,,Immutable logs; append-only
Platform,Decision simulation (Monte Carlo),working,YES,YES,,packages/simulation
Platform,Workflow orchestration (Alloy),working,YES,YES,,Full CRUD; durable jobs
Platform,Multi-tenant RBAC (11 roles),working,YES,YES,,API-enforced; 4 layers
Platform,Memory Fabric,partial,NO,NO,No UI surface,API-only; packages/memory-fabric
Platform,Reflection Engine,working,YES,YES,,Self-improvement; Command UI
Lyte,Overview dashboard,working,YES,YES,,6 critical signals; KPIs; action queue
Lyte,Signals Console,working,YES,YES,,47-signal live feed; priority sorting
Lyte,Entity Graph,working,YES,YES,,SVG relationship map; interactive
Lyte,Decision Center,working,YES,YES,,Ranked recommendations; Monte Carlo
Lyte,Decision Twin,working,YES,YES,,761 lines; simulate approve/delay/reroute/escalate
Lyte,Workflow Health,working,YES,YES,,Per-workflow bottleneck tracking
Lyte,Run Console,working,YES,YES,,Agent trace log
Lyte,Evidence Explorer,working,YES,YES,,Proof chain browser
Lyte,Policy Center,working,YES,YES,,Registry view; 179 lines
Lyte,Eval Studio,working,YES,YES,,Radar chart + eval logs
Lyte,Board View,working,YES,YES,,Legacy surface
Lyte,Ownership Drift,working,YES,YES,,Legacy surface
Lyte,Pressure Map,working,YES,YES,,Legacy surface
Lyte,Action Debt,working,YES,YES,,Legacy surface
Command,Policy Compiler,working,YES,YES,,1252 lines; plain-English to structured policy
Command,Workflow Canvas,working,YES,YES,,Drag-and-drop workflow builder
Command,Action Console,working,YES,YES,,Live action queue
Command,Workflow Templates,working,YES,YES,,Pre-built workflow patterns
Command,Human Approval Gates,working,YES,YES,,Write-back gates; HITL enforced
Command,Agent Monitor,working,YES,YES,,Live agent status
Command,Execution Traces,working,YES,YES,,Per-run trace viewer
Command,Replay Timeline,working,YES,YES,,Incident replay
Command,Policy Simulation,working,YES,YES,,Dry-run mode
Command,Agent Handoffs,working,YES,YES,,Cross-agent coordination
Command,Trust Receipts,working,YES,YES,,Immutable receipts
